id,month,week_closed,daily_capacity,working_days_per_week,produced_to_date,new_orders_qty,original_month_total,revised_month_total,unfulfillable_qty,week_stats_json,warnings_json,created_at,segment,as_of_date,note,plan_run_id,fingerprint,categories_json,working_days_remaining,pinned,frozen_plan_grand_max,effective_from
1,2026-07,0,21335,6,0,0,1972693.8,1437298.5,1437298.5,"[{""lag"":0,""week"":1,""status"":""future"",""capacity"":128010,""produced"":0,""released"":1859130.8,""weekLabel"":""W1"",""loadFactor"":0,""workingDays"":6},{""lag"":0,""week"":2,""status"":""future"",""capacity"":128010,""produced"":0,""released"":12032.5,""weekLabel"":""W2"",""loadFactor"":0,""workingDays"":6},{""lag"":0,""week"":3,""status"":""future"",""capacity"":128010,""produced"":0,""released"":82873.9,""weekLabel"":""W3"",""loadFactor"":0,""workingDays"":6},{""lag"":0,""week"":4,""status"":""future"",""capacity"":128010,""produced"":0,""released"":18656.5,""weekLabel"":""W4"",""loadFactor"":0,""workingDays"":6}]","[{""code"":""UNFULFILLABLE_THIS_MONTH"",""items"":[""PS-2/"",""PS-12/"",""PS-3/"",""PS-13/"",""PS-4/"",""PS-14/"",""PS-15/"",""PS-5/"",""PS-16/"",""PS-2S/""],""value"":1437298.44,""message"":""1,437,298 pcs cannot be produced this month — 460 items deferred to next month"",""severity"":""critical""},{""code"":""STOCKOUT_IMMINENT"",""items"":[""PS-2/"",""PS-12/"",""PS-3/"",""PS-13/"",""PS-4/"",""PS-14/"",""PS-5/"",""PS-16/"",""PS-2S/"",""PS-1S/""],""message"":""217 items have <0.1× cover and are NOT in W1 release — risk of stockout"",""severity"":""critical""},{""code"":""PLAN_DRIFT"",""value"":1437298.44,""message"":""Revised month total 1,437,298 vs original 1,972,694 — 27.14% drift"",""severity"":""high"",""threshold"":1972693.7}]",2026-07-23T02:49:49.969Z,Plumbing,,,,,,,false,,2026-07-23
2,2026-07,2,86904,6,673624,0,532808,530961,1670,"[{""lag"":0,""week"":1,""status"":""closed"",""capacity"":521424,""produced"":0,""released"":0,""weekLabel"":""W1"",""loadFactor"":0,""workingDays"":6},{""lag"":0,""week"":2,""status"":""closed"",""capacity"":521424,""produced"":0,""released"":0,""weekLabel"":""W2"",""loadFactor"":0,""workingDays"":6},{""lag"":0,""week"":3,""status"":""future"",""capacity"":521424,""produced"":0,""released"":0,""weekLabel"":""W3"",""loadFactor"":0.25,""workingDays"":6},{""lag"":0,""week"":4,""status"":""future"",""capacity"":521424,""produced"":0,""released"":0,""weekLabel"":""W4"",""loadFactor"":0.02,""workingDays"":6}]","[{""code"":""UNFULFILLABLE_THIS_MONTH"",""items"":[""S4/"",""U121/""],""value"":1670,""message"":""1,670 pcs cannot be produced this month — 2 items deferred"",""severity"":""critical""}]",2026-07-23T03:26:43.095Z,Plumbing,2026-07-14,As of 14/07/26,,,,,false,,2026-07-14
3,2026-07,2,86904,6,673624,0,1972693.8,2019847.8,444858.5,"[{""lag"":1270561.8,""week"":1,""status"":""closed"",""capacity"":521424,""produced"":588569,""released"":1859130.8,""weekLabel"":""W1"",""loadFactor"":3.57,""workingDays"":6},{""lag"":9334.5,""week"":2,""status"":""closed"",""capacity"":521424,""produced"":2698,""released"":12032.5,""weekLabel"":""W2"",""loadFactor"":0.02,""workingDays"":6},{""lag"":0,""week"":3,""status"":""future"",""capacity"":521424,""produced"":0,""released"":82873.9,""weekLabel"":""W3"",""loadFactor"":0.89,""workingDays"":6},{""lag"":0,""week"":4,""status"":""future"",""capacity"":521424,""produced"":0,""released"":18656.5,""weekLabel"":""W4"",""loadFactor"":0.84,""workingDays"":6}]","[{""code"":""WEEK_LAG"",""value"":588569,""message"":""W1: produced 588,569 vs released 1,859,131 — 68.34% shortfall"",""severity"":""high"",""threshold"":1859130.8},{""code"":""WEEK_LAG"",""value"":2698,""message"":""W2: produced 2,698 vs released 12,033 — 77.58% shortfall"",""severity"":""high"",""threshold"":12032.5},{""code"":""UNFULFILLABLE_THIS_MONTH"",""items"":[""PS-2/"",""PS-3/"",""C62/"",""C42/"",""C43/"",""C63/"",""C523/"",""S4/"",""S3/"",""U53/""],""value"":444858.5,""message"":""444,859 pcs cannot be produced this month — 45 items deferred"",""severity"":""critical""},{""code"":""STOCKOUT_IMMINENT"",""items"":[""S4/"",""S3/"",""U63/"",""U121/"",""A-27C/"",""A-81C/"",""A-9C/"",""A-9A/"",""A-26A/"",""A-44A/""],""message"":""11 items have <0.1× cover and are NOT in W3 release — risk of stockout"",""severity"":""critical""}]",2026-07-23T03:35:18.180Z,Plumbing,2026-07-14,As of 14/07/26,,,,,false,,2026-07-14
4,2026-07,2,86904,6,673624,0,1972693.8,2019847.8,444858.5,"[{""lag"":1270561.8,""week"":1,""status"":""closed"",""capacity"":521424,""produced"":588569,""released"":1859130.8,""weekLabel"":""W1"",""loadFactor"":3.57,""workingDays"":6},{""lag"":9334.5,""week"":2,""status"":""closed"",""capacity"":521424,""produced"":2698,""released"":12032.5,""weekLabel"":""W2"",""loadFactor"":0.02,""workingDays"":6},{""lag"":0,""week"":3,""status"":""future"",""capacity"":521424,""produced"":0,""released"":82873.9,""weekLabel"":""W3"",""loadFactor"":0.89,""workingDays"":6},{""lag"":0,""week"":4,""status"":""future"",""capacity"":521424,""produced"":0,""released"":18656.5,""weekLabel"":""W4"",""loadFactor"":0.84,""workingDays"":6}]","[{""code"":""WEEK_LAG"",""value"":588569,""message"":""W1: produced 588,569 vs released 1,859,131 — 68.34% shortfall"",""severity"":""high"",""threshold"":1859130.8},{""code"":""WEEK_LAG"",""value"":2698,""message"":""W2: produced 2,698 vs released 12,033 — 77.58% shortfall"",""severity"":""high"",""threshold"":12032.5},{""code"":""UNFULFILLABLE_THIS_MONTH"",""items"":[""PS-2/"",""PS-3/"",""C62/"",""C42/"",""C43/"",""C63/"",""C523/"",""S4/"",""S3/"",""U53/""],""value"":444858.5,""message"":""444,859 pcs cannot be produced this month — 45 items deferred"",""severity"":""critical""},{""code"":""STOCKOUT_IMMINENT"",""items"":[""S4/"",""S3/"",""U63/"",""U121/"",""A-27C/"",""A-81C/"",""A-9C/"",""A-9A/"",""A-26A/"",""A-44A/""],""message"":""11 items have <0.1× cover and are NOT in W3 release — risk of stockout"",""severity"":""critical""}]",2026-07-23T03:41:57.888Z,Plumbing,2026-07-14,As of 14/07/26,,,,,false,,2026-07-14
5,2026-07,2,86904,6,673624,0,1972693.8,2019847.8,444858.5,"[{""lag"":1270561.8,""week"":1,""status"":""closed"",""capacity"":521424,""produced"":588569,""released"":1859130.8,""weekLabel"":""W1"",""loadFactor"":3.57,""workingDays"":6},{""lag"":9334.5,""week"":2,""status"":""closed"",""capacity"":521424,""produced"":2698,""released"":12032.5,""weekLabel"":""W2"",""loadFactor"":0.02,""workingDays"":6},{""lag"":0,""week"":3,""status"":""future"",""capacity"":521424,""produced"":0,""released"":82873.9,""weekLabel"":""W3"",""loadFactor"":0.89,""workingDays"":6},{""lag"":0,""week"":4,""status"":""future"",""capacity"":521424,""produced"":0,""released"":18656.5,""weekLabel"":""W4"",""loadFactor"":0.84,""workingDays"":6}]","[{""code"":""WEEK_LAG"",""value"":588569,""message"":""W1: produced 588,569 vs released 1,859,131 — 68.34% shortfall"",""severity"":""high"",""threshold"":1859130.8},{""code"":""WEEK_LAG"",""value"":2698,""message"":""W2: produced 2,698 vs released 12,033 — 77.58% shortfall"",""severity"":""high"",""threshold"":12032.5},{""code"":""UNFULFILLABLE_THIS_MONTH"",""items"":[""PS-2/"",""PS-3/"",""C62/"",""C42/"",""C43/"",""C63/"",""C523/"",""S4/"",""S3/"",""U53/""],""value"":444858.5,""message"":""444,859 pcs cannot be produced this month — 45 items deferred"",""severity"":""critical""},{""code"":""STOCKOUT_IMMINENT"",""items"":[""S4/"",""S3/"",""U63/"",""U121/"",""A-27C/"",""A-81C/"",""A-9C/"",""A-9A/"",""A-26A/"",""A-44A/""],""message"":""11 items have <0.1× cover and are NOT in W3 release — risk of stockout"",""severity"":""critical""}]",2026-07-23T03:45:28.740Z,Plumbing,2026-07-14,As of 14/07/26,,,,,false,,2026-07-14
6,2026-07,2,86904,6,673624,0,1972693.8,2019847.8,444858.5,"[{""lag"":1270561.8,""week"":1,""status"":""closed"",""capacity"":521424,""produced"":588569,""released"":1859130.8,""weekLabel"":""W1"",""loadFactor"":3.57,""workingDays"":6},{""lag"":9334.5,""week"":2,""status"":""closed"",""capacity"":521424,""produced"":2698,""released"":12032.5,""weekLabel"":""W2"",""loadFactor"":0.02,""workingDays"":6},{""lag"":0,""week"":3,""status"":""future"",""capacity"":521424,""produced"":0,""released"":82873.9,""weekLabel"":""W3"",""loadFactor"":0.89,""workingDays"":6},{""lag"":0,""week"":4,""status"":""future"",""capacity"":521424,""produced"":0,""released"":18656.5,""weekLabel"":""W4"",""loadFactor"":0.84,""workingDays"":6}]","[{""code"":""WEEK_LAG"",""value"":588569,""message"":""W1: produced 588,569 vs released 1,859,131 — 68.34% shortfall"",""severity"":""high"",""threshold"":1859130.8},{""code"":""WEEK_LAG"",""value"":2698,""message"":""W2: produced 2,698 vs released 12,033 — 77.58% shortfall"",""severity"":""high"",""threshold"":12032.5},{""code"":""UNFULFILLABLE_THIS_MONTH"",""items"":[""PS-2/"",""PS-3/"",""C62/"",""C42/"",""C43/"",""C63/"",""C523/"",""S4/"",""S3/"",""U53/""],""value"":444858.5,""message"":""444,859 pcs cannot be produced this month — 45 items deferred"",""severity"":""critical""},{""code"":""STOCKOUT_IMMINENT"",""items"":[""S4/"",""S3/"",""U63/"",""U121/"",""A-27C/"",""A-81C/"",""A-9C/"",""A-9A/"",""A-26A/"",""A-44A/""],""message"":""11 items have <0.1× cover and are NOT in W3 release — risk of stockout"",""severity"":""critical""}]",2026-07-23T04:26:16.926Z,Plumbing,2026-07-14,As of 14/07/26,,,,,false,,2026-07-14
7,2026-07,2,86904,6,673624,0,1972693.8,2019847.8,444858.5,"[{""lag"":1270561.8,""week"":1,""status"":""closed"",""capacity"":521424,""produced"":588569,""released"":1859130.8,""weekLabel"":""W1"",""loadFactor"":3.57,""workingDays"":6},{""lag"":9334.5,""week"":2,""status"":""closed"",""capacity"":521424,""produced"":2698,""released"":12032.5,""weekLabel"":""W2"",""loadFactor"":0.02,""workingDays"":6},{""lag"":0,""week"":3,""status"":""future"",""capacity"":521424,""produced"":0,""released"":82873.9,""weekLabel"":""W3"",""loadFactor"":0.89,""workingDays"":6},{""lag"":0,""week"":4,""status"":""future"",""capacity"":521424,""produced"":0,""released"":18656.5,""weekLabel"":""W4"",""loadFactor"":0.84,""workingDays"":6}]","[{""code"":""WEEK_LAG"",""value"":588569,""message"":""W1: produced 588,569 vs released 1,859,131 — 68.34% shortfall"",""severity"":""high"",""threshold"":1859130.8},{""code"":""WEEK_LAG"",""value"":2698,""message"":""W2: produced 2,698 vs released 12,033 — 77.58% shortfall"",""severity"":""high"",""threshold"":12032.5},{""code"":""UNFULFILLABLE_THIS_MONTH"",""items"":[""PS-2/"",""PS-3/"",""C62/"",""C42/"",""C43/"",""C63/"",""C523/"",""S4/"",""S3/"",""U53/""],""value"":444858.5,""message"":""444,859 pcs cannot be produced this month — 45 items deferred"",""severity"":""critical""},{""code"":""STOCKOUT_IMMINENT"",""items"":[""S4/"",""S3/"",""U63/"",""U121/"",""A-27C/"",""A-81C/"",""A-9C/"",""A-9A/"",""A-26A/"",""A-44A/""],""message"":""11 items have <0.1× cover and are NOT in W3 release — risk of stockout"",""severity"":""critical""}]",2026-07-23T04:31:10.914Z,Plumbing,2026-07-14,As of 14/07/26,,,,,false,,2026-07-14
8,2026-07,2,86904,6,673624,0,1972693.8,2019847.8,444858.5,"[{""lag"":1270561.8,""week"":1,""status"":""closed"",""capacity"":521424,""produced"":588569,""released"":1859130.8,""weekLabel"":""W1"",""loadFactor"":3.57,""workingDays"":6},{""lag"":9334.5,""week"":2,""status"":""closed"",""capacity"":521424,""produced"":2698,""released"":12032.5,""weekLabel"":""W2"",""loadFactor"":0.02,""workingDays"":6},{""lag"":0,""week"":3,""status"":""future"",""capacity"":521424,""produced"":0,""released"":82873.9,""weekLabel"":""W3"",""loadFactor"":0.89,""workingDays"":6},{""lag"":0,""week"":4,""status"":""future"",""capacity"":521424,""produced"":0,""released"":18656.5,""weekLabel"":""W4"",""loadFactor"":0.84,""workingDays"":6}]","[{""code"":""WEEK_LAG"",""value"":588569,""message"":""W1: produced 588,569 vs released 1,859,131 — 68.34% shortfall"",""severity"":""high"",""threshold"":1859130.8},{""code"":""WEEK_LAG"",""value"":2698,""message"":""W2: produced 2,698 vs released 12,033 — 77.58% shortfall"",""severity"":""high"",""threshold"":12032.5},{""code"":""UNFULFILLABLE_THIS_MONTH"",""items"":[""PS-2/"",""PS-3/"",""C62/"",""C42/"",""C43/"",""C63/"",""C523/"",""S4/"",""S3/"",""U53/""],""value"":444858.5,""message"":""444,859 pcs cannot be produced this month — 45 items deferred"",""severity"":""critical""},{""code"":""STOCKOUT_IMMINENT"",""items"":[""S4/"",""S3/"",""U63/"",""U121/"",""A-27C/"",""A-81C/"",""A-9C/"",""A-9A/"",""A-26A/"",""A-44A/""],""message"":""11 items have <0.1× cover and are NOT in W3 release — risk of stockout"",""severity"":""critical""}]",2026-07-23T04:34:08.063Z,Plumbing,2026-07-14,As of 14/07/26,,,,,false,,2026-07-14
9,2026-07,2,83334,6,720612,0,1960301,2016160.5,403129.5,"[{""lag"":1214716.8,""week"":1,""status"":""closed"",""capacity"":500004,""produced"":635107,""released"":1849823.8,""weekLabel"":""W1"",""loadFactor"":3.7,""workingDays"":6},{""lag"":8775,""week"":2,""status"":""closed"",""capacity"":500004,""produced"":3148,""released"":11923,""weekLabel"":""W2"",""loadFactor"":0.02,""workingDays"":6},{""lag"":0,""week"":3,""status"":""future"",""capacity"":500004,""produced"":0,""released"":78235.7,""weekLabel"":""W3"",""loadFactor"":0.9,""workingDays"":6},{""lag"":0,""week"":4,""status"":""future"",""capacity"":500004,""produced"":0,""released"":20318.5,""weekLabel"":""W4"",""loadFactor"":0.89,""workingDays"":6}]","[{""code"":""WEEK_LAG"",""value"":635107,""message"":""W1: produced 635,107 vs released 1,849,824 — 65.67% shortfall"",""severity"":""high"",""threshold"":1849823.8},{""code"":""WEEK_LAG"",""value"":3148,""message"":""W2: produced 3,148 vs released 11,923 — 73.6% shortfall"",""severity"":""high"",""threshold"":11923},{""code"":""UNFULFILLABLE_THIS_MONTH"",""items"":[""PS-12/"",""PS-3/"",""C62/"",""C42/"",""C43/"",""C63/"",""C523/"",""C843/"",""S4/"",""S3/""],""value"":403129.5,""message"":""403,130 pcs cannot be produced this month — 43 items deferred"",""severity"":""critical""},{""code"":""STOCKOUT_IMMINENT"",""items"":[""S4/"",""S3/"",""U63/"",""U121/"",""A-26A/"",""A-44A/"",""A-45A/""],""message"":""7 items have <0.1× cover and are NOT in W3 release — risk of stockout"",""severity"":""critical""}]",2026-07-28T04:18:00.710Z,Plumbing,2026-07-14,As of 14/07/26,,,,,false,,2026-07-14
10,2026-07,2,83334,6,720612,0,1960301,2016160.5,403129.5,"[{""lag"":1214716.8,""week"":1,""status"":""closed"",""capacity"":500004,""produced"":635107,""released"":1849823.8,""weekLabel"":""W1"",""loadFactor"":3.7,""workingDays"":6},{""lag"":8775,""week"":2,""status"":""closed"",""capacity"":500004,""produced"":3148,""released"":11923,""weekLabel"":""W2"",""loadFactor"":0.02,""workingDays"":6},{""lag"":0,""week"":3,""status"":""future"",""capacity"":500004,""produced"":0,""released"":78235.7,""weekLabel"":""W3"",""loadFactor"":0.9,""workingDays"":6},{""lag"":0,""week"":4,""status"":""future"",""capacity"":500004,""produced"":0,""released"":20318.5,""weekLabel"":""W4"",""loadFactor"":0.89,""workingDays"":6}]","[{""code"":""WEEK_LAG"",""value"":635107,""message"":""W1: produced 635,107 vs released 1,849,824 — 65.67% shortfall"",""severity"":""high"",""threshold"":1849823.8},{""code"":""WEEK_LAG"",""value"":3148,""message"":""W2: produced 3,148 vs released 11,923 — 73.6% shortfall"",""severity"":""high"",""threshold"":11923},{""code"":""UNFULFILLABLE_THIS_MONTH"",""items"":[""PS-12/"",""PS-3/"",""C62/"",""C42/"",""C43/"",""C63/"",""C523/"",""C843/"",""S4/"",""S3/""],""value"":403129.5,""message"":""403,130 pcs cannot be produced this month — 43 items deferred"",""severity"":""critical""},{""code"":""STOCKOUT_IMMINENT"",""items"":[""S4/"",""S3/"",""U63/"",""U121/"",""A-26A/"",""A-44A/"",""A-45A/""],""message"":""7 items have <0.1× cover and are NOT in W3 release — risk of stockout"",""severity"":""critical""}]",2026-07-28T04:19:10.043Z,Plumbing,2026-07-14,As of 14/07/26,,,,,false,,2026-07-14
11,2026-07,0,83610,6,1172854,0,1960301,2110044.2,96597.5,"[{""lag"":0,""week"":1,""status"":""future"",""capacity"":501660,""produced"":0,""released"":1849823.8,""weekLabel"":""W1"",""loadFactor"":0.61,""workingDays"":6},{""lag"":0,""week"":2,""status"":""future"",""capacity"":501660,""produced"":0,""released"":11923,""weekLabel"":""W2"",""loadFactor"":0.16,""workingDays"":6},{""lag"":0,""week"":3,""status"":""future"",""capacity"":501660,""produced"":0,""released"":78235.7,""weekLabel"":""W3"",""loadFactor"":0.2,""workingDays"":6},{""lag"":0,""week"":4,""status"":""future"",""capacity"":501660,""produced"":0,""released"":20318.5,""weekLabel"":""W4"",""loadFactor"":0.71,""workingDays"":6}]","[{""code"":""UNFULFILLABLE_THIS_MONTH"",""items"":[""PS-2/"",""PS-13/"",""S4/"",""S3/"",""U42/"",""U521/"",""U103/"",""U81/"",""U93/"",""U601/""],""value"":96597.5,""message"":""96,598 pcs cannot be produced this month — 17 items deferred"",""severity"":""critical""},{""code"":""STOCKOUT_IMMINENT"",""items"":[""S4/"",""S3/"",""U121/"",""A-26A/"",""A-44A/"",""A-45A/""],""message"":""6 items have <0.1× cover and are NOT in W1 release — risk of stockout"",""severity"":""critical""}]",2026-07-28T04:20:15.141Z,Plumbing,,,,,,,false,,2026-07-28
12,2026-07,0,83610,6,1172854,0,1960301,2110044.2,96597.5,"[{""lag"":0,""week"":1,""status"":""future"",""capacity"":501660,""produced"":0,""released"":1849823.8,""weekLabel"":""W1"",""loadFactor"":0.61,""workingDays"":6},{""lag"":0,""week"":2,""status"":""future"",""capacity"":501660,""produced"":0,""released"":11923,""weekLabel"":""W2"",""loadFactor"":0.16,""workingDays"":6},{""lag"":0,""week"":3,""status"":""future"",""capacity"":501660,""produced"":0,""released"":78235.7,""weekLabel"":""W3"",""loadFactor"":0.2,""workingDays"":6},{""lag"":0,""week"":4,""status"":""future"",""capacity"":501660,""produced"":0,""released"":20318.5,""weekLabel"":""W4"",""loadFactor"":0.71,""workingDays"":6}]","[{""code"":""UNFULFILLABLE_THIS_MONTH"",""items"":[""PS-2/"",""PS-13/"",""S4/"",""S3/"",""U42/"",""U521/"",""U103/"",""U81/"",""U93/"",""U601/""],""value"":96597.5,""message"":""96,598 pcs cannot be produced this month — 17 items deferred"",""severity"":""critical""},{""code"":""STOCKOUT_IMMINENT"",""items"":[""S4/"",""S3/"",""U121/"",""A-26A/"",""A-44A/"",""A-45A/""],""message"":""6 items have <0.1× cover and are NOT in W1 release — risk of stockout"",""severity"":""critical""}]",2026-07-28T04:20:41.757Z,Plumbing,,,,,,,false,,2026-07-28
13,2026-07,0,83610,6,1172854,0,1960301,2110044.2,96597.5,"[{""lag"":0,""week"":1,""status"":""future"",""capacity"":501660,""produced"":0,""released"":1849823.8,""weekLabel"":""W1"",""loadFactor"":0.61,""workingDays"":6},{""lag"":0,""week"":2,""status"":""future"",""capacity"":501660,""produced"":0,""released"":11923,""weekLabel"":""W2"",""loadFactor"":0.16,""workingDays"":6},{""lag"":0,""week"":3,""status"":""future"",""capacity"":501660,""produced"":0,""released"":78235.7,""weekLabel"":""W3"",""loadFactor"":0.2,""workingDays"":6},{""lag"":0,""week"":4,""status"":""future"",""capacity"":501660,""produced"":0,""released"":20318.5,""weekLabel"":""W4"",""loadFactor"":0.71,""workingDays"":6}]","[{""code"":""UNFULFILLABLE_THIS_MONTH"",""items"":[""PS-2/"",""PS-13/"",""S4/"",""S3/"",""U42/"",""U521/"",""U103/"",""U81/"",""U93/"",""U601/""],""value"":96597.5,""message"":""96,598 pcs cannot be produced this month — 17 items deferred"",""severity"":""critical""},{""code"":""STOCKOUT_IMMINENT"",""items"":[""S4/"",""S3/"",""U121/"",""A-26A/"",""A-44A/"",""A-45A/""],""message"":""6 items have <0.1× cover and are NOT in W1 release — risk of stockout"",""severity"":""critical""}]",2026-07-28T04:21:23.116Z,Plumbing,,,,,,,false,,2026-07-28
14,2026-07,0,83610,6,1172854,0,1960301,2110044.2,96597.5,"[{""lag"":0,""week"":1,""status"":""future"",""capacity"":501660,""produced"":0,""released"":1849823.8,""weekLabel"":""W1"",""loadFactor"":0.61,""workingDays"":6},{""lag"":0,""week"":2,""status"":""future"",""capacity"":501660,""produced"":0,""released"":11923,""weekLabel"":""W2"",""loadFactor"":0.16,""workingDays"":6},{""lag"":0,""week"":3,""status"":""future"",""capacity"":501660,""produced"":0,""released"":78235.7,""weekLabel"":""W3"",""loadFactor"":0.2,""workingDays"":6},{""lag"":0,""week"":4,""status"":""future"",""capacity"":501660,""produced"":0,""released"":20318.5,""weekLabel"":""W4"",""loadFactor"":0.71,""workingDays"":6}]","[{""code"":""UNFULFILLABLE_THIS_MONTH"",""items"":[""PS-2/"",""PS-13/"",""S4/"",""S3/"",""U42/"",""U521/"",""U103/"",""U81/"",""U93/"",""U601/""],""value"":96597.5,""message"":""96,598 pcs cannot be produced this month — 17 items deferred"",""severity"":""critical""},{""code"":""STOCKOUT_IMMINENT"",""items"":[""S4/"",""S3/"",""U121/"",""A-26A/"",""A-44A/"",""A-45A/""],""message"":""6 items have <0.1× cover and are NOT in W1 release — risk of stockout"",""severity"":""critical""}]",2026-07-28T04:22:00.571Z,Plumbing,,,,,,,false,,2026-07-28
15,2026-07,2,83334,6,720612,0,1960301,2016160.5,403129.5,"[{""lag"":1214716.8,""week"":1,""status"":""closed"",""capacity"":500004,""produced"":635107,""released"":1849823.8,""weekLabel"":""W1"",""loadFactor"":3.7,""workingDays"":6},{""lag"":8775,""week"":2,""status"":""closed"",""capacity"":500004,""produced"":3148,""released"":11923,""weekLabel"":""W2"",""loadFactor"":0.02,""workingDays"":6},{""lag"":0,""week"":3,""status"":""future"",""capacity"":500004,""produced"":0,""released"":78235.7,""weekLabel"":""W3"",""loadFactor"":0.9,""workingDays"":6},{""lag"":0,""week"":4,""status"":""future"",""capacity"":500004,""produced"":0,""released"":20318.5,""weekLabel"":""W4"",""loadFactor"":0.89,""workingDays"":6}]","[{""code"":""WEEK_LAG"",""value"":635107,""message"":""W1: produced 635,107 vs released 1,849,824 — 65.67% shortfall"",""severity"":""high"",""threshold"":1849823.8},{""code"":""WEEK_LAG"",""value"":3148,""message"":""W2: produced 3,148 vs released 11,923 — 73.6% shortfall"",""severity"":""high"",""threshold"":11923},{""code"":""UNFULFILLABLE_THIS_MONTH"",""items"":[""PS-12/"",""PS-3/"",""C62/"",""C42/"",""C43/"",""C63/"",""C523/"",""C843/"",""S4/"",""S3/""],""value"":403129.5,""message"":""403,130 pcs cannot be produced this month — 43 items deferred"",""severity"":""critical""},{""code"":""STOCKOUT_IMMINENT"",""items"":[""S4/"",""S3/"",""U63/"",""U121/"",""A-26A/"",""A-44A/"",""A-45A/""],""message"":""7 items have <0.1× cover and are NOT in W3 release — risk of stockout"",""severity"":""critical""}]",2026-07-28T04:22:52.920Z,Plumbing,2026-07-14,As of 14/07/26,,,,,false,,2026-07-14
16,2026-07,2,83334,6,720612,0,1960301,2016160.5,403129.5,"[{""lag"":1214716.8,""week"":1,""status"":""closed"",""capacity"":500004,""produced"":635107,""released"":1849823.8,""weekLabel"":""W1"",""loadFactor"":3.7,""workingDays"":6},{""lag"":8775,""week"":2,""status"":""closed"",""capacity"":500004,""produced"":3148,""released"":11923,""weekLabel"":""W2"",""loadFactor"":0.02,""workingDays"":6},{""lag"":0,""week"":3,""status"":""future"",""capacity"":500004,""produced"":0,""released"":78235.7,""weekLabel"":""W3"",""loadFactor"":0.9,""workingDays"":6},{""lag"":0,""week"":4,""status"":""future"",""capacity"":500004,""produced"":0,""released"":20318.5,""weekLabel"":""W4"",""loadFactor"":0.89,""workingDays"":6}]","[{""code"":""WEEK_LAG"",""value"":635107,""message"":""W1: produced 635,107 vs released 1,849,824 — 65.67% shortfall"",""severity"":""high"",""threshold"":1849823.8},{""code"":""WEEK_LAG"",""value"":3148,""message"":""W2: produced 3,148 vs released 11,923 — 73.6% shortfall"",""severity"":""high"",""threshold"":11923},{""code"":""UNFULFILLABLE_THIS_MONTH"",""items"":[""PS-12/"",""PS-3/"",""C62/"",""C42/"",""C43/"",""C63/"",""C523/"",""C843/"",""S4/"",""S3/""],""value"":403129.5,""message"":""403,130 pcs cannot be produced this month — 43 items deferred"",""severity"":""critical""},{""code"":""STOCKOUT_IMMINENT"",""items"":[""S4/"",""S3/"",""U63/"",""U121/"",""A-26A/"",""A-44A/"",""A-45A/""],""message"":""7 items have <0.1× cover and are NOT in W3 release — risk of stockout"",""severity"":""critical""}]",2026-07-28T04:24:09.180Z,Plumbing,2026-07-14,As of 14/07/26,,,,,false,,2026-07-14
17,2026-07,2,83334,6,720612,0,1960301,2016160.5,403129.5,"[{""lag"":1214716.8,""week"":1,""status"":""closed"",""capacity"":500004,""produced"":635107,""released"":1849823.8,""weekLabel"":""W1"",""loadFactor"":3.7,""workingDays"":6},{""lag"":8775,""week"":2,""status"":""closed"",""capacity"":500004,""produced"":3148,""released"":11923,""weekLabel"":""W2"",""loadFactor"":0.02,""workingDays"":6},{""lag"":0,""week"":3,""status"":""future"",""capacity"":500004,""produced"":0,""released"":78235.7,""weekLabel"":""W3"",""loadFactor"":0.9,""workingDays"":6},{""lag"":0,""week"":4,""status"":""future"",""capacity"":500004,""produced"":0,""released"":20318.5,""weekLabel"":""W4"",""loadFactor"":0.89,""workingDays"":6}]","[{""code"":""WEEK_LAG"",""value"":635107,""message"":""W1: produced 635,107 vs released 1,849,824 — 65.67% shortfall"",""severity"":""high"",""threshold"":1849823.8},{""code"":""WEEK_LAG"",""value"":3148,""message"":""W2: produced 3,148 vs released 11,923 — 73.6% shortfall"",""severity"":""high"",""threshold"":11923},{""code"":""UNFULFILLABLE_THIS_MONTH"",""items"":[""PS-12/"",""PS-3/"",""C62/"",""C42/"",""C43/"",""C63/"",""C523/"",""C843/"",""S4/"",""S3/""],""value"":403129.5,""message"":""403,130 pcs cannot be produced this month — 43 items deferred"",""severity"":""critical""},{""code"":""STOCKOUT_IMMINENT"",""items"":[""S4/"",""S3/"",""U63/"",""U121/"",""A-26A/"",""A-44A/"",""A-45A/""],""message"":""7 items have <0.1× cover and are NOT in W3 release — risk of stockout"",""severity"":""critical""}]",2026-07-28T04:24:42.518Z,Plumbing,2026-07-14,As of 14/07/26,,,,,false,,2026-07-14
